,season,team1,team2,elo_prob1,elo_prob2,carmelo1_pre,carmelo2_pre,carmelo1_post,carmelo2_post,carmelo_prob1,carmelo_prob2,score1,score2,team1Hash,team2Hash
0,-1.222725288391636,CHI,CLE,0.534798385953712,0.46520161404628796,0.4212805789313544,1.849997808054799,0.4793713660380435,1.790428762869036,0.40307778555455737,0.5969222144454427,97,95,1532285866048629918,4228907574955838526
1,-1.222725288391636,ATL,DET,0.7488500967312928,0.25114990326870723,0.23950426071936456,-0.5037007898273871,0.07339476513707825,-0.33744405528286614,0.7527803877788224,0.2472196122211776,94,106,5700374313494463378,-2770613571270583691
2,-1.222725288391636,GSW,NOP,0.8644039623231031,0.135596037676897,1.8125226706824322,0.3640274237728176,1.846437745099297,0.32312757481760845,0.8225768172805491,0.1774231827194509,111,95,2922559144280242665,4067967856683296254
3,-1.222725288391636,ORL,WAS,0.3928059909540044,0.6071940090459955,-0.561529219447999,-0.11851685148890324,-0.5904231989018383,-0.08732817552555262,0.5593314994155977,0.4406685005844023,87,88,7364307840353954306,-2285819318488364112
4,-1.222725288391636,BRK,CHI,0.4936808800185392,0.5063191199814608,-1.8886961441290544,0.4929448881052454,-1.9355804077151733,0.547441016442966,0.31027843672003697,0.6897215632799629,100,115,1857582939019047147,1532285866048629918
5,-1.222725288391636,MIA,CHO,0.6928888556613396,0.3071111443386604,-0.4507024296574791,-0.2946985621409026,-0.37722704600452495,-0.36708563571919894,0.6091790098595442,0.3908209901404558,104,94,-7357393191761466484,-2301035644833432210
6,-1.222725288391636,DET,UTA,0.5713107871745448,0.4286892128254553,-0.34651961135646503,0.25153623013069226,-0.2757589544631267,0.18164679714307014,0.4837326722058186,0.5162673277941814,92,87,-2770613571270583691,429481638095159025
7,-1.222725288391636,TOR,IND,0.6355996558913944,0.3644003441086056,0.10024058004975528,-0.3898851571251711,0.1444297436514208,-0.43488305987773884,0.7129669841493729,0.2870330158506271,106,99,2561503364633695675,7567183495528605856
8,-1.222725288391636,BOS,PHI,0.8386204660574637,0.16137953394253635,0.49310880054506007,-1.8238992912098044,0.5198025570641548,-1.8531711259332595,0.8949973451924523,0.10500265480754767,112,95,-5590291094270705760,-6378341158414588377
9,-1.222725288391636,MEM,CLE,0.5595896080886618,0.44041039191133824,0.7919518251608488,1.7987449112540888,0.5973829994559048,1.9922405890382926,0.5377002997341066,0.4622997002658934,76,106,-5985668375142419164,4228907574955838526
10,-1.222725288391636,OKC,SAS,0.4952493702451917,0.5047506297548083,1.4754345652782668,1.4549658002178405,1.519639488032807,1.405288194002823,0.6548325865360518,0.3451674134639482,112,106,936907259486707158,-7332855802423568025
11,-1.222725288391636,HOU,DEN,0.8289854798301859,0.1710145201698141,1.018739010174771,-1.27901776722189,0.6741733824199405,-0.9361850148487482,0.8931151424580035,0.1068848575419965,85,105,-6980721805910865516,-4894555157353959544
12,-1.222725288391636,MIL,NYK,0.7998766482206531,0.20012335177934693,-0.6890927393081473,-1.5529076639080999,-0.9717003901108343,-1.2661080878491766,0.7668862179515222,0.23311378204847774,97,122,8790014581025697865,1431947654934191088
13,-1.222725288391636,SAC,LAC,0.3504466377459124,0.6495533622540877,-0.22444056974359017,1.3423363993450237,-0.2637974367292675,1.383209670817615,0.3811147920508586,0.6188852079491414,104,111,-713927011085917710,-5323760739627466504
14,-1.222725288391636,POR,NOP,0.6733433623078231,0.3266566376921769,-0.3778676210419101,0.3318648273952553,-0.2672468822769152,0.2219696844645179,0.5698970347961757,0.4301029652038243,112,94,-4685499826689625344,4067967856683296254
15,-1.222725288391636,PHO,DAL,0.5469119900605728,0.4530880099394272,-0.24071910786788253,-0.19412857165797012,-0.3961690713962206,-0.03670569855928659,0.6464257885973925,0.3535742114026075,95,111,-588518604437065009,-5412304293289420943
16,-1.222725288391636,LAL,MIN,0.6590112680313436,0.3409887319686564,-1.6455878902071643,-1.397877438836575,-1.6742594457533146,-1.363186096807633,0.6074405850869884,0.3925594149130116,111,112,5056854428117856023,7791026494116075625
17,-1.222725288391636,IND,MEM,0.5601735955397775,0.4398264044602225,-0.4436259739613604,0.6117723357727691,-0.5069968815938278,0.677450628920125,0.4636360252927814,0.5363639747072186,103,112,7567183495528605856,-5985668375142419164
18,-1.222725288391636,NYK,ATL,0.37965367294893376,0.6203463270510663,-1.2720133257006465,0.08416177155448992,-1.3161845602266244,0.13347906814814336,0.3425696067057503,0.6574303932942497,101,112,1431947654934191088,5700374313494463378
19,-1.222725288391636,LAC,DAL,0.7524331527245296,0.2475668472754704,1.3682600637734452,-0.0278651765906736,1.406794110120882,-0.07185200158349533,0.8199004752364678,0.1800995247635322,104,88,-5323760739627466504,-5412304293289420943
20,-1.222725288391636,PHI,UTA,0.35022449048035,0.64977550951965,-1.8570722195712046,0.19042465361931357,-1.9338316683799217,0.2748048558489714,0.29823117876354405,0.7017688212364559,71,99,-6378341158414588377,429481638095159025
21,-1.222725288391636,ORL,OKC,0.3411664401585596,0.6588335598414404,-0.6014476987296982,1.540404382109817,-0.6147446629362443,1.556510699313545,0.29270889135270506,0.7072911086472949,136,139,7364307840353954306,936907259486707158
22,-1.222725288391636,CLE,MIA,0.8432854126123818,0.15671458738761826,1.9752118427681327,-0.36957518751016866,1.9897258954631127,-0.39175928434864826,0.9007664871547232,0.09923351284527683,102,92,4228907574955838526,-7357393191761466484
23,-1.222725288391636,DET,CHI,0.5161372830498234,0.4838627169501766,-0.28559917680511204,0.5561138927824603,-0.2241398457192995,0.49545014389383296,0.5085057346136802,0.4914942653863198,98,94,-2770613571270583691,1532285866048629918
